,enterprise_honeyservice_3,enterprise_decoy_3,enterprise_honeyservice_1,enterprise_decoy_2,enterprise_decoy_4,enterprise_honeyservice_5,enterprise_honeyservice_4,enterprise_honeyservice_2,enterprise_decoy_1,enterprise_decoy_5,baseline
0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5
2,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5
3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5
4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5
5,,,,,,,,,,,5
6,,,,,,,,,,,5
7,,,,,,,,,,,5
8,,,,,,,,,,,5
9,,,,,,,,,,,5
